"dbp_uri","name","developer","publisher","release_date","homepage","mode","ign","metacritic"
"http://dbpedia.org/resource/Kingdom_Hearts_HD_1.5_Remix","Kingdom Hearts HD 1.5 Remix","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2013-03-14,"http://www.square-enix.co.jp/kingdom/khhd/","http://dbpedia.org/resource/Single-player_video_game",85.0,77
"http://dbpedia.org/resource/Project_Zero_2:_Wii_Edition","Project Zero 2: Wii Edition","http://dbpedia.org/resource/Koei_Tecmo","http://dbpedia.org/resource/Nintendo",2012-06-28,"http://www.nintendo.co.jp/wii/sl2j/index.html","http://dbpedia.org/resource/Single-player_video_game",85.0,77
"http://dbpedia.org/resource/Planet_Minigolf","Planet Minigolf","http://dbpedia.org/resource/Zen_Studios","http://dbpedia.org/resource/Sony_Computer_Entertainment",2010-06-01,"http://planetminigolf.com/","http://dbpedia.org/resource/Multiplayer",65.0,66
"http://dbpedia.org/resource/From_Dust","From Dust","http://dbpedia.org/resource/Ubisoft_Montpellier","http://dbpedia.org/resource/Ubisoft",2011-07-27,"http://fromdustgame.com","http://dbpedia.org/resource/Single-player_video_game",85.0,76
"http://dbpedia.org/resource/Naruto:_Rise_of_a_Ninja","Naruto: Rise of a Ninja","http://dbpedia.org/resource/Ubisoft_Montreal","http://dbpedia.org/resource/Ubisoft",2007-10-30,"https://web.archive.org/web/20070523115324/http:/www.narutoxbox360game.com/","http://dbpedia.org/resource/Multiplayer_video_game",82.0,78
"http://dbpedia.org/resource/PlayStation_All-Stars_Battle_Royale","PlayStation All-Stars Battle Royale","http://dbpedia.org/resource/SuperBot_Entertainment","http://dbpedia.org/resource/Sony_Computer_Entertainment",1921-11-12,"http://www.playstationallstarsbattleroyale.com/","http://dbpedia.org/resource/Multiplayer_video_game",80,74
"http://dbpedia.org/resource/Sly_2:_Band_of_Thieves","Sly 2: Band of Thieves","http://dbpedia.org/resource/Sucker_Punch_Productions","http://dbpedia.org/resource/Sony_Computer_Entertainment",2004-09-14,"http://us.playstation.com/games/sly-2-band-of-thieves-ps2.html","http://dbpedia.org/resource/Single-player_video_game",92.0,88
"http://dbpedia.org/resource/Need_for_Speed_(2015_video_game)","Need for Speed (2015 video game)","http://dbpedia.org/resource/Ghost_Games","http://dbpedia.org/resource/Electronic_Arts",2016-03-15,"http://www.needforspeed.com/","http://dbpedia.org/resource/Multiplayer_video_game",63.0,66
"http://dbpedia.org/resource/Thomas_Was_Alone","Thomas Was Alone","http://dbpedia.org/resource/Mike_Bithell","http://dbpedia.org/resource/Bossa_Studios",2012-06-30,"http://www.thomaswasalone.com","http://dbpedia.org/resource/Single-player_video_game",80,77
"http://dbpedia.org/resource/Dissidia_Final_Fantasy","Dissidia Final Fantasy","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2008-12-18,"http://dissidia-finalfantasy.com/","http://dbpedia.org/resource/Two-player",89.0,79
"http://dbpedia.org/resource/Dragon_Age_II","Dragon Age II","http://dbpedia.org/resource/BioWare","http://dbpedia.org/resource/Electronic_Arts",2011-03-08,"http://dragonage.bioware.com/da2","http://dbpedia.org/resource/Single-player_video_game",85.0,79
"http://dbpedia.org/resource/Star_Fox_Guard","Star Fox Guard","http://dbpedia.org/resource/Nintendo_Entertainment_Planning_&_Development","http://dbpedia.org/resource/Nintendo",2016-04-21,"http://www.nintendo.com/games/detail/star-fox-guard-wii-u","http://dbpedia.org/resource/Single-player_video_game",78.0,74
"http://dbpedia.org/resource/Dead_Rising_3","Dead Rising 3","http://dbpedia.org/resource/Capcom_Vancouver","http://dbpedia.org/resource/Capcom",2013-11-22,"https://web.archive.org/web/20130907211316/http:/www.xbox.com/en-US/xbox-one/games/dead-rising-3/","http://dbpedia.org/resource/Multiplayer_video_game",83.0,70
"http://dbpedia.org/resource/Tom_Clancy's_Splinter_Cell_(video_game)","Tom Clancy's Splinter Cell (video game)","http://dbpedia.org/resource/Ubisoft_Montreal","http://dbpedia.org/resource/Aspyr_Media",1928-02-03,"http://www.splintercell.com/","http://dbpedia.org/resource/Single-player_video_game",70,74
"http://dbpedia.org/resource/Boktai","Boktai","http://dbpedia.org/resource/Konami","http://dbpedia.org/resource/Konami",2016-09-03,"http://www.konami.jp/gs/game/boktai/","http://dbpedia.org/resource/Multiplayer_video_game",85.0,83
"http://dbpedia.org/resource/Civilization:_Beyond_Earth_-_Rising_Tide","Civilization: Beyond Earth - Rising Tide","http://dbpedia.org/resource/Firaxis_Games","http://dbpedia.org/resource/2K_Games",2015-10-09,"http://www.civilization.com/","http://dbpedia.org/resource/Multiplayer_video_game",71.0,81
"http://dbpedia.org/resource/Captain_Toad:_Treasure_Tracker","Captain Toad: Treasure Tracker","http://dbpedia.org/resource/Nintendo_Entertainment_Analysis_&_Development","http://dbpedia.org/resource/Nintendo",2014-11-13,"http://captaintoad.nintendo.com/","http://dbpedia.org/resource/Single-player_video_game",82.0,81
"http://dbpedia.org/resource/Brothers_in_Arms_DS","Brothers in Arms DS","http://dbpedia.org/resource/Gearbox_Software","http://dbpedia.org/resource/Ubisoft",2007-06-07,"http://brothersinarmsgame.us.ubi.com/ds/index.htm","http://dbpedia.org/resource/Multiplayer_video_game",80,72
"http://dbpedia.org/resource/Pushmo","Pushmo","http://dbpedia.org/resource/Intelligent_Systems","http://dbpedia.org/resource/Nintendo",2011-10-05,"http://www.nintendo.co.jp/3ds/eshop/jcaj/","http://dbpedia.org/resource/Single-player_video_game",95.0,90
"http://dbpedia.org/resource/Beautiful_Katamari","Beautiful Katamari","http://dbpedia.org/resource/Namco_Bandai_Games","http://dbpedia.org/resource/Namco_Bandai_Games",2018-10-07,"http://katamaridamacy.jp/beautiful/","http://dbpedia.org/resource/Single_player",76.0,73
"http://dbpedia.org/resource/Beneath_a_Steel_Sky","Beneath a Steel Sky","http://dbpedia.org/resource/Revolution_Software","http://dbpedia.org/resource/Virgin_Interactive",2009-10-07,"http://revolution.co.uk/games/beneath-a-steel-sky/","http://dbpedia.org/resource/Single-player_video_game",85.0,82
"http://dbpedia.org/resource/Galactic_Civilizations_III","Galactic Civilizations III","http://dbpedia.org/resource/Stardock","http://dbpedia.org/resource/Stardock",2015-05-14,"http://www.galciv3.com","http://dbpedia.org/resource/Multiplayer_video_game",86.0,85
"http://dbpedia.org/resource/Bleach:_The_Blade_of_Fate","Bleach: The Blade of Fate","http://dbpedia.org/resource/Treasure_(company)","http://dbpedia.org/resource/Viz_Media",2006-01-26,"http://bleach.sega.jp/nds/index.html","http://dbpedia.org/resource/Single_player",85.0,83
"http://dbpedia.org/resource/The_Sims_3:_Generations","The Sims 3: Generations","http://dbpedia.org/resource/The_Sims_Studio","http://dbpedia.org/resource/Electronic_Arts",2011-05-31,"http://www.thesims.com/en-us/the-sims-3#!expansions/the-sims-3-generations","http://dbpedia.org/resource/Single-player_video_game",70,72
"http://dbpedia.org/resource/Mario_Party_10","Mario Party 10","http://dbpedia.org/resource/Nd_Cube","http://dbpedia.org/resource/Nintendo",2020-03-15,"http://marioparty10.nintendo.com","http://dbpedia.org/resource/Multiplayer_video_game",65.0,66
"http://dbpedia.org/resource/Astro_Boy_(2004_video_game)","Astro Boy (2004 video game)","http://dbpedia.org/resource/Sonic_Team","http://dbpedia.org/resource/Sega",2018-08-04,"http://sega.jp/ps2/astroboy/","http://dbpedia.org/resource/Single-player",40,54
"http://dbpedia.org/resource/Rhythm_Heaven","Rhythm Heaven","http://dbpedia.org/resource/Nintendo_SPD","http://dbpedia.org/resource/Nintendo",2008-07-31,"http://rhythmheaven.nintendo.com/","http://dbpedia.org/resource/Single-player",90,83
"http://dbpedia.org/resource/Nintendogs_+_Cats","Nintendogs + Cats","http://dbpedia.org/resource/Nintendo_EAD","http://dbpedia.org/resource/Nintendo",1925-03-11,"http://nintendogspluscats.nintendo.com/","http://dbpedia.org/resource/Single-player",70,71
"http://dbpedia.org/resource/Dynasty_Warriors:_Gundam_3","Dynasty Warriors: Gundam 3","http://dbpedia.org/resource/Koei_Tecmo","http://dbpedia.org/resource/Bandai_Namco",1928-06-10,"http://gundam-musou.jp/","http://dbpedia.org/resource/Multiplayer_video_game",45.0,58
"http://dbpedia.org/resource/Dirt_Rally","Dirt Rally","http://dbpedia.org/resource/Codemasters","http://dbpedia.org/resource/Codemasters",2015-12-07,"https://www.dirtgame.com","http://dbpedia.org/resource/Multiplayer_game",89.0,86
"http://dbpedia.org/resource/Paper_Mario:_Sticker_Star","Paper Mario: Sticker Star","http://dbpedia.org/resource/Intelligent_Systems","http://dbpedia.org/resource/Nintendo",2012-11-11,"http://papermario.nintendo.com","http://dbpedia.org/resource/Single-player_video_game",83.0,75
"http://dbpedia.org/resource/Uncharted_3:_Drake's_Deception","Uncharted 3: Drake's Deception","http://dbpedia.org/resource/Naughty_Dog","http://dbpedia.org/resource/Sony_Computer_Entertainment",2011-11-01,"http://www.unchartedthegame.com/","http://dbpedia.org/resource/Multiplayer_video_game",100,92
"http://dbpedia.org/resource/Ninja_Reflex","Ninja Reflex","http://dbpedia.org/resource/Sanzaru_Games","http://dbpedia.org/resource/Electronic_Arts",2014-03-08,"http://ninjareflex.com","http://dbpedia.org/resource/Single_player",60,57
"http://dbpedia.org/resource/Silent_Hill_4:_The_Room","Silent Hill 4: The Room","http://dbpedia.org/resource/Konami_Computer_Entertainment_Tokyo","http://dbpedia.org/resource/Konami",2004-06-17,"http://www.konami.jp/gs/game/sh4/","http://dbpedia.org/resource/Single-player_video_game",69.0,67
"http://dbpedia.org/resource/Star_Trek:_Bridge_Commander","Star Trek: Bridge Commander","http://dbpedia.org/resource/Totally_Games","http://dbpedia.org/resource/Activision",2002-02-27,"https://web.archive.org/web/20021124152330/http:/www.bridgecommander.com/","http://dbpedia.org/resource/Massive_Multiplayer_Online_Game",90,82
"http://dbpedia.org/resource/Kingdom_Hearts_358/2_Days","Kingdom Hearts 358/2 Days","http://dbpedia.org/resource/H.a.n.d.","http://dbpedia.org/resource/Square_Enix",1929-09-09,"http://na.square-enix.com/khdays","http://dbpedia.org/resource/Multiplayer_video_game",80,75
"http://dbpedia.org/resource/Final_Fantasy_IV:_The_Complete_Collection","Final Fantasy IV: The Complete Collection","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2019-04-11,"http://www.square-enix.co.jp/ff4cc/","http://dbpedia.org/resource/Single-player_video_game",90,77
"http://dbpedia.org/resource/Wii_Party_U","Wii Party U","http://dbpedia.org/resource/Nd_Cube","http://dbpedia.org/resource/Nintendo",2013-10-25,"http://wiipartyu.nintendo.com/","http://dbpedia.org/resource/Multiplayer_video_game",75.0,65
"http://dbpedia.org/resource/Dynasty_Warriors_8","Dynasty Warriors 8","http://dbpedia.org/resource/Koei_Tecmo","http://dbpedia.org/resource/Tecmo_Koei",1924-02-14,"http://www.gamecity.ne.jp/smusou7/","http://dbpedia.org/resource/Multiplayer_video_game",87.0,65
"http://dbpedia.org/resource/Neopets:_The_Darkest_Faerie","Neopets: The Darkest Faerie","http://dbpedia.org/resource/Idol_Minds","http://dbpedia.org/resource/Sony_Computer_Entertainment",2005-11-16,"http://www.neopets.com/thedarkestfaerie/index.phtml","http://dbpedia.org/resource/Single_player",65.0,61
